0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:44:26 +0530] "GET /TechTonic/Article?title=Every%20Video%20Game%20Release%20Coming%20Soon%20For%20Xbox%20Series%20XS%20And%20Xbox%20One&id=11 HTTP/1.1" 200 7881
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:44:26 +0530] "GET /TechTonic/imgs/article_images/f13f0b8b-39c8-47c4-8906-f765107f303d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:45:33 +0530] "GET /TechTonic/Dashboard HTTP/1.1" 200 4854
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:45:40 +0530] "GET /TechTonic/EditArticle?article_id=11 HTTP/1.1" 200 14196
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:45:40 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:45:40 +0530] "GET /TechTonic/imgs/article_images/f13f0b8b-39c8-47c4-8906-f765107f303d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:45:52 +0530] "POST /TechTonic/DeleteArticle HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:45:57 +0530] "GET /TechTonic/EditArticle?article_id=11 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:46:03 +0530] "GET /TechTonic/Dashboard HTTP/1.1" 200 4030
0:0:0:0:0:0:0:1 - - [23/Jun/2023:23:03:56 +0530] "GET /TechTonic/NewArticle HTTP/1.1" 200 7686
0:0:0:0:0:0:0:1 - - [23/Jun/2023:23:03:56 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:23:04:39 +0530] "POST /TechTonic/NewArticle HTTP/1.1" 200 2247
0:0:0:0:0:0:0:1 - - [23/Jun/2023:23:04:42 +0530] "GET /TechTonic/Dashboard HTTP/1.1" 200 4854
0:0:0:0:0:0:0:1 - - [23/Jun/2023:23:04:45 +0530] "GET /TechTonic/Article?title=Epic%20Games%20Store%20Free%20Game%20for%20June%2029%20Revealed&id=10 HTTP/1.1" 200 5532
0:0:0:0:0:0:0:1 - - [23/Jun/2023:23:04:45 +0530] "GET /TechTonic/imgs/article_images/23945425-640b-4cf0-8ab3-a1c61161476f.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:23:05:25 +0530] "GET /TechTonic/NewArticle HTTP/1.1" 200 7686
